Продукт,Калорийность,Белки,Жиры,Углеводы
"Свинина, кострец, постное мясо, сырая",121 кКал,121 кКал,121 кКал,121 кКал
"Свинина, кострец, постное мясо, тушеный",163 кКал,163 кКал,163 кКал,163 кКал
"Свинина, кострец, тушеный",171 кКал,171 кКал,171 кКал,171 кКал
"Свинина, котлетное мясо",421 кКал,421 кКал,421 кКал,421 кКал
"Свинина, лопатка бескостная",186 кКал,186 кКал,186 кКал,186 кКал
"Свинина, лопатка бескостная, жареная на огне",259 кКал,259 кКал,259 кКал,259 кКал
"Свинина, лопатка бескостная, запечённая",269 кКал,269 кКал,269 кКал,269 кКал
"Свинина, лопатка бескостная, постное мясо",132 кКал,132 кКал,132 кКал,132 кКал
"Свинина, лопатка бескостная, постное мясо, жареная на огне",227 кКал,227 кКал,227 кКал,227 кКал
"Свинина, лопатка бескостная, постное мясо, запечённая",232 кКал,232 кКал,232 кКал,232 кКал
"Свинина, лопатка бескостная, постное мясо, тушеная",233 кКал,233 кКал,233 кКал,233 кКал
"Свинина, лопатка бескостная, тушеная",267 кКал,267 кКал,267 кКал,267 кКал
"Свинина, лопаточная часть",325 кКал,325 кКал,325 кКал,325 кКал
"Свинина, лопаточная часть",236 кКал,236 кКал,236 кКал,236 кКал
"Свинина, лопаточная часть корейки без кости",157 кКал,157 кКал,157 кКал,157 кКал
"Свинина, лопаточная часть корейки без кости, жареная на огне",202 кКал,202 кКал,202 кКал,202 кКал
"Свинина, лопаточная часть корейки без кости, запечённая",199 кКал,199 кКал,199 кКал,199 кКал
"Свинина, лопаточная часть корейки без кости, постное мясо",123 кКал,123 кКал,123 кКал,123 кКал
"Свинина, лопаточная часть корейки без кости, постное мясо, жареное на огне",169 кКал,169 кКал,169 кКал,169 кКал
"Свинина, лопаточная часть корейки без кости, постное мясо, запеченное",175 кКал,175 кКал,175 кКал,175 кКал
"Свинина, лопаточная часть корейки на кости",194 кКал,194 кКал,194 кКал,194 кКал
"Свинина, лопаточная часть корейки на кости,  постное мясо",143 кКал,143 кКал,143 кКал,143 кКал
"Свинина, лопаточная часть корейки на кости, жареная на огне",231 кКал,231 кКал,231 кКал,231 кКал
"Свинина, лопаточная часть корейки на кости, запеченная",254 кКал,254 кКал,254 кКал,254 кКал
"Свинина, лопаточная часть корейки на кости, отдельно мясо и жир, жареная на сковороде",256 кКал,256 кКал,256 кКал,256 кКал
"Свинина, лопаточная часть корейки на кости, постное мясо, жареная на огне",193 кКал,193 кКал,193 кКал,193 кКал
"Свинина, лопаточная часть корейки на кости, постное мясо, жареная на сковороде",222 кКал,222 кКал,222 кКал,222 кКал
"Свинина, лопаточная часть корейки на кости, постное мясо, запеченная",217 кКал,217 кКал,217 кКал,217 кКал
"Свинина, лопаточная часть корейки на кости, постное мясо, тушеная",222 кКал,222 кКал,222 кКал,222 кКал
"Свинина, лопаточная часть корейки на кости, тушеная",255 кКал,255 кКал,255 кКал,255 кКал
"Свинина, лопаточная часть, запечённая",292 кКал,292 кКал,292 кКал,292 кКал
"Свинина, лопаточная часть, постное мясо",148 кКал,148 кКал,148 кКал,148 кКал
"Свинина, лопаточная часть, постное мясо, запечённая",230 кКал,230 кКал,230 кКал,230 кКал
"Свинина, маринованная рулька",171 кКал,171 кКал,171 кКал,171 кКал
"Свинина, мякоть окорока, тушеная",156 кКал,156 кКал,156 кКал,156 кКал
"Свинина, мясо с рёбер средней части",211 кКал,211 кКал,211 кКал,211 кКал
"Свинина, мясо с рёбер средней части, жареное на огне",260 кКал,260 кКал,260 кКал,260 кКал
"Свинина, мясо с рёбер средней части, жареное на сковороде",256 кКал,256 кКал,256 кКал,256 кКал
"Свинина, мясо с рёбер средней части, жареное насковороде.",273 кКал,273 кКал,273 кКал,273 кКал
"Свинина, мясо с рёбер средней части, запечённое",252 кКал,252 кКал,252 кКал,252 кКал
"Свинина, мясо с рёбер средней части, тушеное",255 кКал,255 кКал,255 кКал,255 кКал
"Свинина, нарезаная кусками (ноги, филе, лопатки и ребра), мясо вместе с жиром",211 кКал,211 кКал,211 кКал,211 кКал
"Свинина, окорок",333 кКал,333 кКал,333 кКал,333 кКал
"Свинина, окорок в целом",245 кКал,245 кКал,245 кКал,245 кКал
"Свинина, окорок в целом, запечённый",273 кКал,273 кКал,273 кКал,273 кКал
"Свинина, окорок в целом, постное мясо",136 кКал,136 кКал,136 кКал,136 кКал
"Свинина, окорок в целом, постное мясо, запечённый",211 кКал,211 кКал,211 кКал,211 кКал
"Свинина, окорок, без костей, мясо с жиром, сырая",113 кКал,113 кКал,113 кКал,113 кКал
"Свинина, пашина (брюшина)",518 кКал,518 кКал,518 кКал,518 кКал
"Свинина, плечевая часть",193 кКал,193 кКал,193 кКал,193 кКал
"Свинина, плечевая часть, запечённая",317 кКал,317 кКал,317 кКал,317 кКал
"Свинина, плечевая часть, постное мясо, запечённая",228 кКал,228 кКал,228 кКал,228 кКал
"Свинина, плечевая часть, постное мясо, тушеная",194 кКал,194 кКал,194 кКал,194 кКал
"Свинина, плечевая часть, тушеная",235 кКал,235 кКал,235 кКал,235 кКал
"Свинина, поджарка (из ноги, филе, лопатки и ребрышек)",216 кКал,216 кКал,216 кКал,216 кКал
"Свинина, поджарка (из ноги, филе, лопатки и ребрышек), приготовленная",238 кКал,238 кКал,238 кКал,238 кКал
"Свинина, поджарка (из окорока, филе и лопатки), постное мясо",134 кКал,134 кКал,134 кКал,134 кКал
"Свинина, поджарка(из ноги, филе, лопатки), постное мясо, приготовленная",201 кКал,201 кКал,201 кКал,201 кКал
"Свинина, подлопаточная часть",128 кКал,128 кКал,128 кКал,128 кКал
"Свинина, подлопаточная часть, жареная на огне",155 кКал,155 кКал,155 кКал,155 кКал
"Свинина, постное мясо с рёбер средней части",152 кКал,152 кКал,152 кКал,152 кКал
"Свинина, постное мясо с рёбер средней части, жареное на огне на огне",216 кКал,216 кКал,216 кКал,216 кКал
"Свинина, постное мясо с рёбер средней части, жареное на сковороде",224 кКал,224 кКал,224 кКал,224 кКал
"Свинина, постное мясо с рёбер средней части, запечённое",214 кКал,214 кКал,214 кКал,214 кКал
"Свинина, постное мясо с рёбер средней части, тушеное",211 кКал,211 кКал,211 кКал,211 кКал
"Свинина, рёбра с грудинки с тонким слоем мяса",277 кКал,277 кКал,277 кКал,277 кКал
"Свинина, рёбра с грудинки с тонким слоем мяса, запечённые",361 кКал,361 кКал,361 кКал,361 кКал
"Свинина, рёбра с грудинки с тонким слоем мяса, тушеные",397 кКал,397 кКал,397 кКал,397 кКал
"Свинина, рёбра с лопаточной части",189 кКал,189 кКал,189 кКал,189 кКал
"Свинина, рёбра с лопаточной части без кости, жареные на огне",247 кКал,247 кКал,247 кКал,247 кКал
"Свинина, рёбра с лопаточной части без кости, запечённые",270 кКал,270 кКал,270 кКал,270 кКал
"Свинина, рёбра с лопаточной части, жареные на огне",260 кКал,260 кКал,260 кКал,260 кКал
"Свинина, рёбра с лопаточной части, запечённые",359 кКал,359 кКал,359 кКал,359 кКал
