Продукт,Калорийность,Белки,Жиры,Углеводы
"Фасоль кидни красная, зрелая, вареная без соли",127 кКал,127 кКал,127 кКал,127 кКал
"Фасоль кидни красная, зрелая, вареная с солью",127 кКал,127 кКал,127 кКал,127 кКал
"Фасоль кидни красная, зрелая, консервированная",81 кКал,81 кКал,81 кКал,81 кКал
"Фасоль кидни красная, зрелая, консервированная, с пониженным содержанием натрия",81 кКал,81 кКал,81 кКал,81 кКал
"Фасоль кидни красная, зрелая, консервированная, содержимое без жидкости",124 кКал,124 кКал,124 кКал,124 кКал
"Фасоль кидни красная, зрелая, консервированная, содержимое без жидкости, промытая водой",121 кКал,121 кКал,121 кКал,121 кКал
"Фасоль кидни красная, калифорнийская, зрелая, вареная, без доб. соли",124 кКал,124 кКал,124 кКал,124 кКал
"Фасоль кидни красная, калифорнийская, зрелая, вареная, с доб. соли",124 кКал,124 кКал,124 кКал,124 кКал
"Фасоль кидни красная, калифорнийская, зрелая, сырая",330 кКал,330 кКал,330 кКал,330 кКал
"Фасоль кидни красная, королевская, зрелая",329 кКал,329 кКал,329 кКал,329 кКал
"Фасоль кидни красная, королевская, зрелая, вареная, без доб. соли",123 кКал,123 кКал,123 кКал,123 кКал
"Фасоль кидни красная, королевская, зрелая, вареная, с доб. соли",123 кКал,123 кКал,123 кКал,123 кКал
"Фасоль кидни, все виды, зрелая",333 кКал,333 кКал,333 кКал,333 кКал
"Фасоль кидни, все виды, зрелая, вареная, без соли",127 кКал,127 кКал,127 кКал,127 кКал
"Фасоль кидни, все виды, зрелая, вареная, с солью",127 кКал,127 кКал,127 кКал,127 кКал
"Фасоль кидни, все виды, зрелая, консервированная",84 кКал,84 кКал,84 кКал,84 кКал
"Фасоль кидни, проросшая",29 кКал,29 кКал,29 кКал,29 кКал
"Фасоль кидни, проросшая, вареная без соли",33 кКал,33 кКал,33 кКал,33 кКал
"Фасоль кидни, проросшая, вареная с солью",33 кКал,33 кКал,33 кКал,33 кКал
"Фасоль кранберри (римская фасоль, борлотти), зрелые семена",335 кКал,335 кКал,335 кКал,335 кКал
"Фасоль кранберри (римская фасоль, борлотти), зрелые семена, вареная, без соли",136 кКал,136 кКал,136 кКал,136 кКал
"Фасоль кранберри (римская фасоль, борлотти), зрелые семена, вареная, с солью",136 кКал,136 кКал,136 кКал,136 кКал
"Фасоль кранберри (римская фасоль, борлотти), зрелые семена, консервированная",83 кКал,83 кКал,83 кКал,83 кКал
Фасоль мотыльковая (mothbeans),343 кКал,343 кКал,343 кКал,343 кКал
"Фасоль мотыльковая (mothbeans), вареная, без соли",117 кКал,117 кКал,117 кКал,117 кКал
"Фасоль мотыльковая (mothbeans), вареная, с солью",117 кКал,117 кКал,117 кКал,117 кКал
"Фасоль пинто (пёстрая), зрелая",347 кКал,347 кКал,347 кКал,347 кКал
"Фасоль пинто (пёстрая), зрелая, вареная, без соли",143 кКал,143 кКал,143 кКал,143 кКал
"Фасоль пинто (пёстрая), зрелая, вареная, с солью",143 кКал,143 кКал,143 кКал,143 кКал
"Фасоль пинто (пёстрая), зрелая, консервированная",82 кКал,82 кКал,82 кКал,82 кКал
"Фасоль пинто (пёстрая), зрелая, консервированная, с пониженным содержанием соли",82 кКал,82 кКал,82 кКал,82 кКал
