Продукт,Калорийность,Белки,Жиры,Углеводы
"Сырный пирог, приготовленный из сухой смеси, не выпечной",274 кКал,274 кКал,274 кКал,274 кКал
"Сырный пирог, промышленого изготовления",321 кКал,321 кКал,321 кКал,321 кКал
"Теннис-хлеб, обыкновенный (Апачи)",258 кКал,258 кКал,258 кКал,258 кКал
"Французские тосты, замороженные, готовые к выпечке",213 кКал,213 кКал,213 кКал,213 кКал
Хлеб белый,266 кКал,266 кКал,266 кКал,266 кКал
"Хлеб белый, приготовленный по рецепту, из маложирного (2%-ым) молока",285 кКал,285 кКал,285 кКал,285 кКал
"Хлеб белый, приготовленный по рецепту, сделанный из обезжиренного сухого молока",274 кКал,274 кКал,274 кКал,274 кКал
"Хлеб белый, тосты",290 кКал,290 кКал,290 кКал,290 кКал
Хлеб из грубой непросеянной ржаной муки,250 кКал,250 кКал,250 кКал,250 кКал
"Хлеб из кукурузной муки, приготовленный из сухой смеси",330 кКал,330 кКал,330 кКал,330 кКал
"Хлеб из кукурузной муки, приготовленный по рецепту, из маложирного (2%-ым) молока",266 кКал,266 кКал,266 кКал,266 кКал
"Хлеб из кукурузы, сухая смесь, необогащенная (содержит смесь для кукурузных кексов)",418 кКал,418 кКал,418 кКал,418 кКал
Хлеб из овсяный хлеб,269 кКал,269 кКал,269 кКал,269 кКал
Хлеб из пшеничных зародышей,188 кКал,188 кКал,188 кКал,188 кКал
Хлеб из смеси злаков (цельнозерновой),265 кКал,265 кКал,265 кКал,265 кКал
"Хлеб из смеси злаков, тосты (цельнозерновой)",288 кКал,288 кКал,288 кКал,288 кКал
Хлеб из цельного зерна,252 кКал,252 кКал,252 кКал,252 кКал
"Хлеб из цельного зерна, приготовленный по рецепту",278 кКал,278 кКал,278 кКал,278 кКал
"Хлеб из цельного зерна, тосты",306 кКал,306 кКал,306 кКал,306 кКал
Хлеб пшеничный зерновой (мука в/с и зерно дробленое),228 кКал,228 кКал,228 кКал,228 кКал
Хлеб пшеничный из муки 1 сорта,235 кКал,235 кКал,235 кКал,235 кКал
Хлеб пшеничный из муки 2 сорта,228 кКал,228 кКал,228 кКал,228 кКал
Хлеб пшеничный из муки высшего сорта,235 кКал,235 кКал,235 кКал,235 кКал
Хлеб пшеничный из обойной муки,208 кКал,208 кКал,208 кКал,208 кКал
Хлеб пшеничный паляница (мука 1 сорта),243 кКал,243 кКал,243 кКал,243 кКал
Хлеб пшеничный соловецкий (мука 1 и 2 сорта),237 кКал,237 кКал,237 кКал,237 кКал
Хлеб ржано-пшеничный бородинский (мука ржаная обойная и пшеничная 2 сорта),201 кКал,201 кКал,201 кКал,201 кКал
Хлеб ржано-пшеничный рижский (мука ржаная сеяная и пшеничная 1 сорта),232 кКал,232 кКал,232 кКал,232 кКал
Хлеб ржано-пшеничный столовый (ржаная обдирная и пшеничная 2 сорта),201 кКал,201 кКал,201 кКал,201 кКал
Хлеб ржано-пшеничный украинский (мука ржаная обдирная и пшеничная обойная),198 кКал,198 кКал,198 кКал,198 кКал
Хлеб ржаной из обдирной муки,197 кКал,197 кКал,197 кКал,197 кКал
Хлеб ржаной из обойной муки,174 кКал,174 кКал,174 кКал,174 кКал
Хлеб ржаной из сеяной муки,210 кКал,210 кКал,210 кКал,210 кКал
"Хлеб с бананом, на маргарине",326 кКал,326 кКал,326 кКал,326 кКал
"Хлеб с изюмом, обогащенный",274 кКал,274 кКал,274 кКал,274 кКал
"Хлеб с изюмом, тосты, обогащенный",297 кКал,297 кКал,297 кКал,297 кКал
Хлеб чиабатта,262 кКал,262 кКал,262 кКал,262 кКал
"Хлеб, белковый, тосты (с глютеном)",270 кКал,270 кКал,270 кКал,270 кКал
"Хлеб, белый, промышленого изготовления, с низким содержанием натрия, без соли",267 кКал,267 кКал,267 кКал,267 кКал
"Хлеб, белый, промышленого изготовления, тосты,с низким содержанием натрия, без соли",293 кКал,293 кКал,293 кКал,293 кКал
"Хлеб, бостон коричневый, консервированный",195 кКал,195 кКал,195 кКал,195 кКал
