Продукт,Калорийность,Белки,Жиры,Углеводы
"Молочный напиток шоколадный обезжиренный, с витаминами A и D",67 кКал,67 кКал,67 кКал,67 кКал
"Молочный напиток шоколадный обезжиренный, с добавлением кальция",78 кКал,78 кКал,78 кКал,78 кКал
"Мороженое в вафельном рожке покрытое шоколадом с орехами, 22% жирности",354 кКал,354 кКал,354 кКал,354 кКал
"Мороженое в вафельном рожке с арахисом и шоколадным соусом, 9,3% жирности",265 кКал,265 кКал,265 кКал,265 кКал
"Мороженое в шоколадной глазури с орехами, 25,8% жирности",303 кКал,303 кКал,303 кКал,303 кКал
"Мороженое лёгкое 3% жирности, с сорбетом",165 кКал,165 кКал,165 кКал,165 кКал
Мороженое молочное,132 кКал,132 кКал,132 кКал,132 кКал
Мороженое молочное клубничное,123 кКал,123 кКал,123 кКал,123 кКал
Мороженое молочное крем-брюле,138 кКал,138 кКал,138 кКал,138 кКал
Мороженое молочное ореховое,157 кКал,157 кКал,157 кКал,157 кКал
Мороженое молочное с плодами и ягодами,124 кКал,124 кКал,124 кКал,124 кКал
Мороженое молочное с шоколадной глазурью,231 кКал,231 кКал,231 кКал,231 кКал
Мороженое молочное шоколадное,133 кКал,133 кКал,133 кКал,133 кКал
"Мороженое мягкое,  шоколадное 13% жирности,",222 кКал,222 кКал,222 кКал,222 кКал
"Мороженое мягкое, шоколадное, лёгкое 3,7% жирности",141 кКал,141 кКал,141 кКал,141 кКал
"Мороженое на палочке с хрустящей глазурью, 25% жирности",358 кКал,358 кКал,358 кКал,358 кКал
"Мороженое на палочке с шоколадной глазурью, 24% жирности",331 кКал,331 кКал,331 кКал,331 кКал
Мороженое обезжиренное без сахара,133 кКал,133 кКал,133 кКал,133 кКал
Мороженое пломбир,232 кКал,232 кКал,232 кКал,232 кКал
Мороженое пломбир в вафельном рожке,254 кКал,254 кКал,254 кКал,254 кКал
Мороженое пломбир в шоколадной глазури,310 кКал,310 кКал,310 кКал,310 кКал
Мороженое пломбир клубничный,206 кКал,206 кКал,206 кКал,206 кКал
Мороженое пломбир крем-брюле,240 кКал,240 кКал,240 кКал,240 кКал
Мороженое пломбир ореховый,259 кКал,259 кКал,259 кКал,259 кКал
"Мороженое пломбир, шоколадный",231 кКал,231 кКал,231 кКал,231 кКал
Мороженое сливочное,183 кКал,183 кКал,183 кКал,183 кКал
Мороженое сливочное клубничное,165 кКал,165 кКал,165 кКал,165 кКал
Мороженое сливочное крем-брюле,191 кКал,191 кКал,191 кКал,191 кКал
Мороженое сливочное ореховое,210 кКал,210 кКал,210 кКал,210 кКал
Мороженое сливочное с плодами и ягодами,166 кКал,166 кКал,166 кКал,166 кКал
Мороженое сливочное с шоколадной глазурью,271 кКал,271 кКал,271 кКал,271 кКал
Мороженое сливочное шоколадное,185 кКал,185 кКал,185 кКал,185 кКал
Мороженое сэндвич,237 кКал,237 кКал,237 кКал,237 кКал
Мороженое сэндвич с печеньем,240 кКал,240 кКал,240 кКал,240 кКал
"Мороженое сэндвич, лёгкое ванильное 3% жирности",186 кКал,186 кКал,186 кКал,186 кКал
"Мороженое сэндвич, лёгкое ванильное 3% жирности без сахара",200 кКал,200 кКал,200 кКал,200 кКал
"Напиток кисломолочный  2,5% жирности «Юбилейный»",53 кКал,53 кКал,53 кКал,53 кКал
"Напиток кисломолочный  2,5% жирности «Юбилейный», плодово-ягодный",84 кКал,84 кКал,84 кКал,84 кКал
"Напиток кисломолочный  2,5% жирности, «Бифидин»",61 кКал,61 кКал,61 кКал,61 кКал
"Напиток кисломолочный «Снежок» 2,5% жирности",79 кКал,79 кКал,79 кКал,79 кКал
"Напиток кисломолочный «Тонус» 2,5% жирности",53 кКал,53 кКал,53 кКал,53 кКал
"Напиток кисломолочный 1% жирности, плодово-ягодный",71 кКал,71 кКал,71 кКал,71 кКал
"Напиток кисломолочный 3,2% жирности, ""Южный""",58 кКал,58 кКал,58 кКал,58 кКал
"Оттопки масла, сухие",876 кКал,876 кКал,876 кКал,876 кКал
"Паста ацидофильная 4,0% жирности",143 кКал,143 кКал,143 кКал,143 кКал
"Паста ацидофильная, сладкая 8,0% жирности",203 кКал,203 кКал,203 кКал,203 кКал
"Паста молочная, ацидофильная сладкая нежирная",81 кКал,81 кКал,81 кКал,81 кКал
Пахта 1% жирности,40 кКал,40 кКал,40 кКал,40 кКал
