Продукт,Калорийность,Белки,Жиры,Углеводы
"Рис коричневый (нешлифованный), пропаренный. сухой, UNCLE BEN'S",370 кКал,370 кКал,370 кКал,370 кКал
"Рис крем, дроблёный рис быстрорастворимый, приготовленный на воде с солью",52 кКал,52 кКал,52 кКал,52 кКал
"Рис крем, дроблёный рис быстрорастворимый, сухой",370 кКал,370 кКал,370 кКал,370 кКал
"Рис, зерно цельное необработанное",303 кКал,303 кКал,303 кКал,303 кКал
Рисовая запеканка по 1-288,144 кКал,144 кКал,144 кКал,144 кКал
Рисовая запеканка с творогом по 1-288,189 кКал,189 кКал,189 кКал,189 кКал
Рисовая каша по 1-268,144 кКал,144 кКал,144 кКал,144 кКал
"Рисовая лапша, приготовленная",108 кКал,108 кКал,108 кКал,108 кКал
"Рисовая лапша, сухая",364 кКал,364 кКал,364 кКал,364 кКал
Рисовая мука диетическая,356 кКал,356 кКал,356 кКал,356 кКал
"Рисовая мука, белая",366 кКал,366 кКал,366 кКал,366 кКал
"Рисовая мука, коричневая",363 кКал,363 кКал,363 кКал,363 кКал
"Рисовые отруби, сырые",316 кКал,316 кКал,316 кКал,316 кКал
Рожь молотая жареная,322 кКал,322 кКал,322 кКал,322 кКал
"Рожь, зерно",338 кКал,338 кКал,338 кКал,338 кКал
"Рожь, зерно цельное необработанное",283 кКал,283 кКал,283 кКал,283 кКал
Сорго,323 кКал,323 кКал,323 кКал,323 кКал
Сорго,329 кКал,329 кКал,329 кКал,329 кКал
"Спагетти со шпинатом, приготовленные",130 кКал,130 кКал,130 кКал,130 кКал
"Спагетти со шпинатом, сухие",372 кКал,372 кКал,372 кКал,372 кКал
"Спагетти, обогащенные протеином, приготовленные",164 кКал,164 кКал,164 кКал,164 кКал
"Спагетти, обогащенные протеином, сухие",374 кКал,374 кКал,374 кКал,374 кКал
"Сухой завтрак,  MALT-O-MEAL, обычный, сухой",361 кКал,361 кКал,361 кКал,361 кКал
"Сухой завтрак, CREAM OF WHEAT, обычный, приготовленный на воде, без соли",50 кКал,50 кКал,50 кКал,50 кКал
"Сухой завтрак, CREAM OF WHEAT, обычный, сухой",370 кКал,370 кКал,370 кКал,370 кКал
"Сухой завтрак, готовый к употреблению, GENERAL MILLS TOTAL, Cranberry Crunch",328 кКал,328 кКал,328 кКал,328 кКал
"Сухой завтрак, готовый к употреблению, GENERAL MILLS, Curves Fruit & Nut Crunch cereal",347 кКал,347 кКал,347 кКал,347 кКал
"Сухой завтрак, готовый к употреблению, GENERAL MILLS, DORA THE EXPLORER",366 кКал,366 кКал,366 кКал,366 кКал
"Сухой завтрак, готовый к употреблению, GENERAL MILLS, Fruity CHEERIOS",383 кКал,383 кКал,383 кКал,383 кКал
"Сухой завтрак, готовый к употреблению, GENERAL MILLS, OATMEAL CRISP with Almonds",393 кКал,393 кКал,393 кКал,393 кКал
